"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","800","get started link","chromium","2026-09-14","passed","2026-09-14","","api/tests/example.spec.ts","",""
"","1346","Test Case 13: Verify Product quantity in Cart","chromium","2026-09-14","passed","2026-09-14","E2E Tests","ui/tests/E2E.spec.ts","",""
"","1078","Test Case 17: Remove Products From Cart","chromium","2026-09-14","passed","2026-09-14","Cart Test Cases","ui/tests/cart.spec.ts","",""
"","2640","Test Case 8: Verify All products and product details page","chromium","2026-09-14","passed","2026-09-14","Products Page Tests","ui/tests/products.spec.ts","",""
"","687","has title","chromium","2026-09-14","passed","2026-09-14","","api/tests/example.spec.ts","",""
"","1353","Test Case 21: Add review on product","chromium","2026-09-14","passed","2026-09-14","Product Details Page","ui/tests/productDetails.spec.ts","",""
"","2309","seed using loginPage fixture","chromium","2026-09-14","passed","2026-09-14","seed for logged in user","ui/tests/seed.spec.ts","",""
"","2784","should log out successfully","chromium","2026-09-14","passed","2026-09-14","Login Page Tests","ui/tests/loging.spec.ts","",""
"","1081","Test Case 11: Verify Subscription in Cart page","chromium","2026-09-14","passed","2026-09-14","Cart Test Cases","ui/tests/cart.spec.ts","",""
"","832","Test Case 26: Verify Scroll Up without 'Arrow' button and Scroll Down functionality","chromium","2026-09-14","passed","2026-09-14","Home Page Tests.","ui/tests/home.spec.ts","",""
"","7465","Test Case 14: Place Order: Register while Checkout","chromium","2026-09-14","passed","2026-09-14","E2E Tests","ui/tests/E2E.spec.ts","",""
"","1484","Test Case 2: Login User with correct email and password","chromium","2026-09-14","passed","2026-09-14","","ui/tests/loging.spec.ts","",""
"","3591","Test Case 1: Register User","chromium","2026-09-14","passed","2026-09-14","E2E Tests","ui/tests/E2E.spec.ts","",""
"","1102","Test Case 09: Search Product","chromium","2026-09-14","passed","2026-09-14","","ui/tests/productsPage.spec.ts","",""
"","2461","Test Case 12: Add Products in Cart","chromium","2026-09-14","passed","2026-09-14","Cart Test Cases","ui/tests/cart.spec.ts","",""
"","1201","Test Case 5: Register User with existing email:","chromium","2026-09-14","passed","2026-09-14","","ui/tests/signup.spec.ts","",""
"","1","should submit the contact form successfully","chromium","2026-09-14","skipped","2026-09-14","Contact Us form tests","ui/tests/contactForm.spec.ts","",""
"","2074","Test Case 25: Verify Scroll Up using 'Arrow' button and Scroll Down functionality:","chromium","2026-09-14","passed","2026-09-14","Home Page Tests.","ui/tests/home.spec.ts","",""
"","1143","Test Case 3: Login User with incorrect email and password:","chromium","2026-09-14","passed","2026-09-14","","ui/tests/loging.spec.ts","",""
"","0","TC7 - Verify Test Cases page","chromium","2026-09-14","skipped","2026-09-14","Login tests","ui/tests/testCases.spec.ts","",""
