"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30418","Test Case 25: Verify Scroll Up using 'Arrow' button and Scroll Down functionality:","chromium","2026-06-04","broken","2026-06-04","Home Page Tests.","ui/tests/home.spec.ts","",""
"","30441","Test Case 5: Register User with existing email:","chromium","2026-06-04","broken","2026-06-04","","ui/tests/signup.spec.ts","",""
"","30423","should log out successfully","chromium","2026-06-04","broken","2026-06-04","Login Page Tests","ui/tests/loging.spec.ts","",""
"","30453","seed using loginPage fixture","chromium","2026-06-04","broken","2026-06-04","seed for logged in user","ui/tests/seed.spec.ts","",""
"","30437","Test Case 26: Verify Scroll Up without 'Arrow' button and Scroll Down functionality","chromium","2026-06-04","broken","2026-06-04","Home Page Tests.","ui/tests/home.spec.ts","",""
"","30454","Test Case 3: Login User with incorrect email and password:","chromium","2026-06-04","broken","2026-06-04","","ui/tests/loging.spec.ts","",""
"","0","TC7 - Verify Test Cases page","chromium","2026-06-04","skipped","2026-06-04","Login tests","ui/tests/verifyPages.spec.ts","",""
"","11571","Test Case 09: Search Product","chromium","2026-06-04","failed","2026-06-04","","ui/tests/productsPage.spec.ts","",""
"","0","should submit the contact form successfully","chromium","2026-06-04","skipped","2026-06-04","Contact Us form tests","ui/tests/contactForm.spec.ts","",""
"","30460","Test Case 17: Remove Products From Cart","chromium","2026-06-04","broken","2026-06-04","Cart Test Cases","ui/tests/cart.spec.ts","",""
"","10992","TC8 - Verify All products and product details page","chromium","2026-06-04","failed","2026-06-04","Login tests","ui/tests/verifyPages.spec.ts","",""
"","610","has title","chromium","2026-06-04","passed","2026-06-04","","api/tests/example.spec.ts","",""
"","30455","Test Case 14: Place Order: Register while Checkout","chromium","2026-06-04","broken","2026-06-04","E2E Tests","ui/tests/E2E.spec.ts","",""
"","745","get started link","chromium","2026-06-04","passed","2026-06-04","","api/tests/example.spec.ts","",""
"","30434","Test Case 13: Verify Product quantity in Cart","chromium","2026-06-04","broken","2026-06-04","E2E Tests","ui/tests/E2E.spec.ts","",""
